3	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Anaphase promoting complex, Cdc20, Cdh1, and Ama1 subunits	KOG0305
22	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Anaphase-promoting complex (APC), Cdc16 subunit	KOG1173
35	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Anaphase-promoting complex (APC), Cdc23 subunit	KOG1155
22	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Anaphase-promoting complex (APC), subunit 7	KOG1174
1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Cdc2-related protein kinase	KOG0600
1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, kinase subunit CDK7	KOG0659
1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Centromere-associated protein HEC1	KOG0995
1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Component of histone deacetylase complex (breast carcinoma metastasis suppressor 1 protein in human)	KOG4466
1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	DNA replication checkpoint protein CHL12/CTF18	KOG1969
42	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	DNA-binding cell division cycle control protein	KOG1126
3	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	FAD-dependent sulfhydryl oxidase/quiescin and related proteins	KOG1731
2	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Host cell transcription factor HCFC1	KOG4152
3	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Leucine-rich acidic nuclear protein	KOG2739
1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Metacaspase involved in regulation of apoptosis	KOG1546
7	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Microtubule severing protein katanin p80 subunit B (contains WD40 repeats)	KOG0267
3	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Microtubule-associated protein dynactin DCTN1/Glued	KOG0971
1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Mitotic checkpoint protein MAD1	KOG4593
1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Mitotic checkpoint protein PRCC	KOG3903
1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Mitotic checkpoint serine/threonine protein kinase	KOG1166
1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Mitotic spindle checkpoint protein BUB3, WD repeat superfamily	KOG1036
3	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	NIMA (never in mitosis)-related G2-specific serine/threonine protein kinase	KOG0591
3	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Polo-like serine/threonine protein kinase	KOG0575
1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	Predicted ATPase, nucleotide-binding	KOG3022
