qseqid	DB ID	Protein description	DB description	EC number	CDD ID	taxonomic_range_name	taxonomic_range	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	General functional category	Functional category	KO
sp|A0B9K2|AATA_METTP	COG1155	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1 [Energy production and conversion]. Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1 is part of the Pathway/BioSystem: A/V-type ATP synthase	3.6.3.14	CDD:440769			62.199	582.0	213.0	3.0	1.0	575.0	2.0	583.0	0.0	1080.0	METABOLISM	Energy production and conversion 	
sp|A0B9K2|AATA_METTP	KOG1350	F0F1-type ATP synthase, beta subunit	KOG1350, F0F1-type ATP synthase, beta subunit [Energy production and conversion]		CDD:229292			31.773	299.0	183.0	8.0	205.0	497.0	175.0	458.0	1.3199999999999999e-28	117.0	METABOLISM	Energy production and conversion 	
sp|A0B9K2|AATA_METTP	KOG1351	Vacuolar H+-ATPase V1 sector, subunit B	KOG1351, Vacuolar H+-ATPase V1 sector, subunit B [Energy production and conversion]		CDD:229293			30.417	240.0	155.0	7.0	282.0	517.0	232.0	463.0	1.48e-19	89.5	METABOLISM	Energy production and conversion 	
sp|A0B9K2|AATA_METTP	KOG1352	Vacuolar H+-ATPase V1 sector, subunit A	KOG1352, Vacuolar H+-ATPase V1 sector, subunit A [Energy production and conversion]		CDD:229294			53.102	548.0	244.0	9.0	2.0	538.0	20.0	565.0	0.0	666.0	METABOLISM	Energy production and conversion 	
sp|A0B9K2|AATA_METTP	PRK04192	V-type ATP synthase subunit A	V-type ATP synthase subunit A; Provisional	7.1.2.2	CDD:235248	cellular organisms	131567	62.887	582.0	209.0	3.0	1.0	575.0	2.0	583.0	0.0	1077.0			
sp|A0B9K2|AATA_METTP	TIGR01043	ATP synthase subunit A	ATP synthase archaeal, A subunit. Archaeal ATP synthase shares extensive sequence similarity with eukaryotic and prokaryotic V-type (H+)-ATPases. [Energy metabolism, ATP-proton motive force interconversion]	7.1.2.2	CDD:130115	cellular organisms	131567	61.938	578.0	213.0	5.0	3.0	573.0	1.0	578.0	0.0	962.0			
sp|A0B9K2|AATA_METTP	cd01134		V/A-type ATP synthase catalytic subunit A. V/A-type ATP synthase catalytic subunit A. These ATPases couple ATP hydrolysis to the build up of a H+ gradient, but V-type ATPases do not catalyze the reverse reaction. Vacuolar (V-type) ATPases play major roles in endomembrane and plasma membrane proton transport in eukaryotes. They are found in multiple intracellular membranes including vacuoles, endosomes, lysosomes, Golgi-derived vesicles, secretory vesicles, as well as the plasma membrane. Archaea have a protein which is similar in sequence to V-ATPases, but functions like an F-ATPase (called A-ATPase).  A similar protein is also found in a few bacteria.		CDD:410878			56.164	365.0	81.0	2.0	69.0	431.0	1.0	288.0	0.0	557.0			
sp|A0B9K2|AATA_METTP	cd12797		M23 family metallopeptidase, also known as beta-lytic metallopeptidase, and similar proteins. This model describes the metallopeptidase M23 family, which includes beta-lytic metallopeptidase and lysostaphin. Members of this family are zinc endopeptidases that lyse bacterial cell wall peptidoglycans; they cleave either the N-acylmuramoyl-Ala bond between the cell wall peptidoglycan and the cross-linking peptide (e.g. beta-lytic endopeptidase) or a bond within the cross-linking peptide (e.g. stapholysin, and lysostaphin). Beta-lytic metallopeptidase, formerly known as beta-lytic protease, has a preference for cleavage of Gly-X bonds and favors hydrophobic or apolar residues on either side. It inhibits growth of sensitive organisms and may potentially serve as an antimicrobial agent. Lysostaphin, produced by Staphylococcus genus, cleaves pentaglycine cross-bridges of cell wall peptidoglycan, acting as autolysins to maintain cell wall metabolism or as toxins and weapons against competing strains. Staphylolysin (also known as LasA) is implicated in a range of processes related to Pseudomonas virulence, including stimulating shedding of the ectodomain of cell surface heparan sulphate proteoglycan syndecan-1, and elastin degradation in connective tissue. Its active site is less constricted and contains a five-coordinate zinc ion with trigonal bipyramidal geometry and two metal-bound water molecules, possibly contributing to its activity against a wider range of substrates than those used by related lytic enzymes, consistent with its multiple roles in Pseudomonas virulence. The family includes members that do not appear to have the conserved zinc-binding site and might be lipoproteins lacking proteolytic activity.		CDD:410984			33.333	48.0	25.0	2.0	96.0	137.0	24.0	70.0	0.000366	38.0			
sp|A0B9K2|AATA_METTP	cd18111		V/A-type ATP synthase catalytic subunit A (alpha), C-terminal domain. The alpha (A) subunit of the V1/A1 complex of V/A-type ATP synthases, C-terminal domain.  The V- and A-type family of ATPases are composed of two linked multi-subunit complexes: the V1 and A1 complexes contain three copies each of the alpha and beta subunits that form the soluble catalytic core, which is involved in ATP synthesis/hydrolysis, and the Vo or Ao complex that forms the membrane-embedded proton pore. The A-ATP synthase (AoA1-ATPase) is found in archaea and functions like F-ATP synthase. Structurally, however, the A-ATP synthase is more closely related to the V-ATP synthase (vacuolar VoV1-ATPase), which is a proton-translocating ATPase responsible for acidification of eukaryotic intracellular compartments and for ATP synthesis in archaea and some eubacteria. Collectively, the V- and A-type synthases can function in both ATP synthesis and hydrolysis modes.		CDD:349746			54.286	105.0	48.0	0.0	447.0	551.0	1.0	105.0	1.32e-50	167.0			
sp|A0B9K2|AATA_METTP	cl38909		ATP synthase, alpha/beta subunits of F1/V1/A1 complex, flagellum-specific ATPase FliI, N-terminal domain. The alpha (A) subunit of the V1/A1 complexes of V/A-type ATP synthases, N-terminal domain.  The V- and A-type family of ATPases are composed of two linked multi-subunit complexes: the V1 or A1 complex contain three copies each of the alpha and beta subunits that form the soluble catalytic core, which is involved in ATP synthesis/hydrolysis, and the Vo or Ao complex that forms the membrane-embedded proton pore. The A-ATP synthase (AoA1-ATPase) is found in archaea and functions like F-ATP synthase. Structurally, however, the A-ATP synthase is more closely related to the V-ATP synthase (vacuolar VoV1-ATPase), which is a proton-translocating ATPase responsible for acidification of eukaryotic intracellular compartments and for ATP synthesis in archaea and some eubacteria. Collectively, the V- and A-type synthases can function in both ATP synthesis and hydrolysis modes.		CDD:365785															
