qseqid	General functional category	Functional category	DB ID	Protein description	DB description	EC number	KO	CDD ID	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
tr|A0B5T7|A0B5T7_METTP	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	COG2908	UDP-2,3-diacylglucosamine pyrophosphatase LpxH	UDP-2,3-diacylglucosamine pyrophosphatase LpxH [Cell wall/membrane/envelope biogenesis]. 	3.6.1.54	K01529	CDD:442152	22.837	289.0	154.0	20.0	2.0	275.0	3.0	237.0	2.81e-17	76.0
tr|A0B5W5|A0B5W5_METTP	METABOLISM	Energy production and conversion 	COG4656	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit [Energy production and conversion]. Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit is part of the Pathway/BioSystem: Na+-translocating Fd:NADH oxidoreductase		K03615	CDD:443694	25.806	93.0	64.0	4.0	401.0	490.0	351.0	441.0	1.48e-08	54.8
tr|A0B5W5|A0B5W5_METTP	METABOLISM	Energy production and conversion 	COG1152	CO dehydrogenase/acetyl-CoA synthase alpha subunit	CO dehydrogenase/acetyl-CoA synthase alpha subunit [Energy production and conversion]. 	1.2.7.4		CDD:440766	33.929	280.0	102.0	7.0	447.0	726.0	1.0	197.0	1.0300000000000001e-73	236.0
tr|A0B5Z1|A0B5Z1_METTP	METABOLISM	Energy production and conversion 	COG0426	Flavorubredoxin	Flavorubredoxin [Energy production and conversion]. 	1.-.-.-		CDD:440195	38.107	391.0	232.0	7.0	1.0	382.0	1.0	390.0	3.4499999999999998e-152	432.0
tr|A0B6R9|A0B6R9_METTP	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms 	COG0589	Nucleotide-binding universal stress protein,  UspA family	Nucleotide-binding universal stress protein,  UspA family [Signal transduction mechanisms]. 	2.7.11.-		CDD:440354	40.714	140.0	79.0	1.0	1.0	140.0	1.0	136.0	3.4200000000000003e-43	136.0
tr|A0B6R9|A0B6R9_METTP	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms 	COG0589	Nucleotide-binding universal stress protein,  UspA family	Nucleotide-binding universal stress protein,  UspA family [Signal transduction mechanisms]. 	2.7.11.1		CDD:440354	40.714	140.0	79.0	1.0	1.0	140.0	1.0	136.0	3.4200000000000003e-43	136.0
tr|A0B7F1|A0B7F1_METTP	METABOLISM	Inorganic ion transport and metabolism 	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	ABC-type Fe3+-hydroxamate transport system, periplasmic component [Inorganic ion transport and metabolism]. 		K02781,K02016	CDD:440379	31.449	283.0	167.0	10.0	88.0	364.0	3.0	264.0	2.31e-44	152.0
tr|A0B7J1|A0B7J1_METTP	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat [Cell wall/membrane/envelope biogenesis]. 	6.2.1.-	K03546,K00870	CDD:441129	20.598	301.0	181.0	17.0	490.0	764.0	28.0	296.0	1.67e-24	103.0
tr|A0B7J1|A0B7J1_METTP	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat [Cell wall/membrane/envelope biogenesis]. 	6.2.1.-	K03546,K00870	CDD:441129	24.148	352.0	195.0	23.0	473.0	790.0	55.0	368.0	5.53e-23	98.7
tr|A0B7J1|A0B7J1_METTP	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat [Cell wall/membrane/envelope biogenesis]. 	6.2.1.-	K03546,K00870	CDD:441129	22.917	384.0	203.0	24.0	342.0	692.0	35.0	358.0	2.6e-20	90.6
tr|A0B7J1|A0B7J1_METTP	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat [Cell wall/membrane/envelope biogenesis]. 	6.2.1.-	K03546,K00870	CDD:441129	24.481	241.0	126.0	13.0	581.0	790.0	33.0	248.0	9.4e-17	79.9
tr|A0B7J1|A0B7J1_METTP	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat [Cell wall/membrane/envelope biogenesis]. 	6.2.1.-	K03546,K00870	CDD:441129	22.259	301.0	176.0	17.0	66.0	344.0	32.0	296.0	3.88e-13	68.7
tr|A0B7J1|A0B7J1_METTP	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat [Cell wall/membrane/envelope biogenesis]. 	6.2.1.-	K03546,K00870	CDD:441129	22.33	309.0	159.0	23.0	287.0	570.0	71.0	323.0	1.15e-12	67.1
tr|A0B7J1|A0B7J1_METTP	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat [Cell wall/membrane/envelope biogenesis]. 	6.2.1.-	K03546,K00870	CDD:441129	25.0	276.0	146.0	18.0	68.0	319.0	119.0	357.0	4.96e-12	65.2
tr|A0B7J2|A0B7J2_METTP	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat [Cell wall/membrane/envelope biogenesis]. 	6.2.1.-	K03546,K00870	CDD:441129	23.37	368.0	218.0	23.0	51.0	383.0	31.0	369.0	7.24e-33	129.0
tr|A0B7J2|A0B7J2_METTP	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat [Cell wall/membrane/envelope biogenesis]. 	6.2.1.-	K03546,K00870	CDD:441129	26.502	283.0	170.0	15.0	184.0	439.0	29.0	300.0	5.61e-31	123.0
tr|A0B7J2|A0B7J2_METTP	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat [Cell wall/membrane/envelope biogenesis]. 	6.2.1.-	K03546,K00870	CDD:441129	30.435	138.0	85.0	6.0	263.0	392.0	28.0	162.0	2.4300000000000003e-21	95.3
tr|A0B7J2|A0B7J2_METTP	METABOLISM	Coenzyme transport and metabolism 	COG1429	Cobalamin biosynthesis protein CobN, Mg-chelatase	Cobalamin biosynthesis protein CobN, Mg-chelatase [Coenzyme transport and metabolism]. Cobalamin biosynthesis protein CobN, Mg-chelatase is part of the Pathway/BioSystem: Cobalamine/B12 biosynthesis	6.6.1.2	K02230	CDD:441038	39.78	1184.0	632.0	30.0	564.0	1697.0	20.0	1172.0	0.0	1242.0
tr|A0B7N6|A0B7N6_METTP	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	COG1180	Pyruvate-formate lyase-activating enzyme	Pyruvate-formate lyase-activating enzyme [Posttranslational modification, protein turnover, chaperones]. 	1.97.1.4	K04068	CDD:440793	46.696	227.0	112.0	3.0	70.0	290.0	19.0	242.0	6.28e-97	284.0
tr|A0B7T7|A0B7T7_METTP	METABOLISM	Energy production and conversion 	COG1153	Formylmethanofuran dehydrogenase subunit D	Formylmethanofuran dehydrogenase subunit D [Energy production and conversion]. 	1.2.99.5		CDD:440767	41.129	124.0	73.0	0.0	1.0	124.0	1.0	124.0	8.85e-52	156.0
tr|A0B7Z8|A0B7Z8_METTP	METABOLISM	Amino acid transport and metabolism 	COG0747	ABC-type transport system, periplasmic component	ABC-type transport system, periplasmic component [Amino acid transport and metabolism]. 	3.1.3.2	K02035	CDD:440510	28.866	485.0	309.0	13.0	46.0	522.0	7.0	463.0	2.71e-107	325.0
