qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Entry	Entry Name	Protein names	Gene Ontology (GO)	Function [CC]	EC number	Annotation	Protein families	Pfam
tr|X5DZ82|X5DZ82_9BACT	X5DZ82	100.0	538	0	0	1	538	1	538	0.0	1093.0	X5DZ82	X5DZ82_9BACT	Starch-binding associating with outer membrane	cell outer membrane [GO:0009279]			1.0	SusD family	PF14322;PF07980;
tr|X5DDM1|X5DDM1_9BACT	X5DDM1	100.0	1077	0	0	1	1077	1	1077	0.0	2127.0	X5DDM1	X5DDM1_9BACT	Iron complex outermembrane recepter protein	cell outer membrane [GO:0009279]; iron ion transport [GO:0006826]			1.0	TonB-dependent receptor family	PF13715;PF07715;PF07660;PF00593;
tr|X5DCQ1|X5DCQ1_9BACT	X5DCQ1	100.0	1057	0	0	1	1057	1	1057	0.0	2106.0	X5DCQ1	X5DCQ1_9BACT	TonB-linked outer membrane protein, SusC/RagA family	cell outer membrane [GO:0009279]			1.0	TonB-dependent receptor family	PF13715;PF07715;PF00593;
tr|X5DBG4|X5DBG4_9BACT	X5DBG4	100.0	1087	0	0	1	1087	1	1087	0.0	2144.0	X5DBG4	X5DBG4_9BACT	TonB-linked outer membrane protein, SusC/RagA family	cell outer membrane [GO:0009279]; iron ion transport [GO:0006826]			1.0	TonB-dependent receptor family	PF13715;PF07715;
tr|X5D8M4|X5D8M4_9BACT	X5D8M4	100.0	509	0	0	1	509	1	509	0.0	1042.0	X5D8M4	X5D8M4_9BACT	Starch-binding associating with outer membrane	cell outer membrane [GO:0009279]			1.0	SusD family	PF14322;PF07980;
tr|X5D7Q4|X5D7Q4_9BACT	X5D7Q4	100.0	615	0	0	1	615	1	615	0.0	1243.0	X5D7Q4	X5D7Q4_9BACT	Starch-binding associating with outer membrane	cell outer membrane [GO:0009279]			1.0	SusD family	PF14322;PF07980;
tr|X4ZSR1|X4ZSR1_9BACL	X4ZSR1	100.0	467	0	0	1	467	1	467	0.0	951.0	X4ZSR1	X4ZSR1_9BACL	ABC transporter substrate-binding protein				1.0	Bacterial solute-binding protein 1 family	
tr|X2CV80|X2CV80_EHRRU	X2CV80	100.0	372	0	0	1	372	1	372	3.8699999999999996e-63	216.0	X2CV80	X2CV80_EHRRU	Uncharacterized protein				1.0		
tr|X1VJ43|X1VJ43_9ZZZZ	X1VJ43	100.0	224	0	0	1	224	1	224	4.829999999999998e-167	468.0	X1VJ43	X1VJ43_9ZZZZ	Uncharacterized protein				1.0		
tr|X1VA59|X1VA59_9ZZZZ	X1VA59	100.0	83	0	0	1	83	1	83	1.5900000000000001e-52	167.0	X1VA59	X1VA59_9ZZZZ	Purple acid phosphatase N-terminal domain-containing protein				1.0		
tr|X1V8T8|X1V8T8_9ZZZZ	X1V8T8	100.0	227	0	0	1	227	1	227	4.639999999999999e-171	479.0	X1V8T8	X1V8T8_9ZZZZ	Peptidase M10 metallopeptidase domain-containing protein	extracellular matrix [GO:0031012]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; collagen catabolic process [GO:0030574]; extracellular matrix organization [GO:0030198]; proteolysis [GO:0006508]			2.0		PF00413;
tr|X1V848|X1V848_9ZZZZ	X1V848	100.0	239	0	0	1	239	1	239	2.4699999999999997e-172	483.0	X1V848	X1V848_9ZZZZ	FAD/NAD(P)-binding domain-containing protein	4 iron, 4 sulfur cluster binding [GO:0051539]; oxidoreductase activity [GO:0016491]			1.0		PF07992;
tr|X1V2W2|X1V2W2_9ZZZZ	X1V2W2	100.0	136	0	0	1	136	1	136	1.6299999999999996e-88	263.0	X1V2W2	X1V2W2_9ZZZZ	Uncharacterized protein				1.0		
tr|X1UXZ2|X1UXZ2_9ZZZZ	X1UXZ2	100.0	206	0	0	1	206	1	206	1.64e-110	327.0	X1UXZ2	X1UXZ2_9ZZZZ	Right handed beta helix domain-containing protein				1.0		PF13229;
tr|X1TXS3|X1TXS3_9ZZZZ	X1TXS3	100.0	136	0	0	1	136	1	136	1.5599999999999996e-95	280.0	X1TXS3	X1TXS3_9ZZZZ	DUF35 domain-containing protein				1.0		PF12172;PF01796;
tr|X1TXK2|X1TXK2_9ZZZZ	X1TXK2	100.0	142	0	0	1	142	1	142	3.489999999999999e-95	280.0	X1TXK2	X1TXK2_9ZZZZ	Condensation domain-containing protein				1.0		
tr|X1TT20|X1TT20_9ZZZZ	X1TT20	100.0	265	0	0	1	265	1	265	8.059999999999997e-200	555.0	X1TT20	X1TT20_9ZZZZ	Uncharacterized protein				1.0		
tr|X1TPB7|X1TPB7_9ZZZZ	X1TPB7	100.0	436	0	0	1	436	1	436	0.0	900.0	X1TPB7	X1TPB7_9ZZZZ	DUF1349 domain-containing protein				1.0		
tr|X1TGL9|X1TGL9_9ZZZZ	X1TGL9	100.0	235	0	0	1	235	1	235	1.0799999999999997e-164	463.0	X1TGL9	X1TGL9_9ZZZZ	Glycosyl hydrolase family 98 putative carbohydrate-binding module domain-containing protein				1.0		
tr|X1TF24|X1TF24_9ZZZZ	X1TF24	100.0	267	0	0	1	267	1	267	9.809999999999996e-186	523.0	X1TF24	X1TF24_9ZZZZ	EF-hand domain-containing protein	calcium ion binding [GO:0005509]; cysteine-type peptidase activity [GO:0008234]; proteolysis [GO:0006508]			1.0		PF01650;PF18884;
tr|X1T1P6|X1T1P6_9ZZZZ	X1T1P6	100.0	176	0	0	1	176	1	176	1.2799999999999997e-127	365.0	X1T1P6	X1T1P6_9ZZZZ	Uncharacterized protein				1.0		
tr|X1SEN9|X1SEN9_9ZZZZ	X1SEN9	100.0	264	0	0	1	264	1	264	1.0899999999999997e-192	536.0	X1SEN9	X1SEN9_9ZZZZ	Uncharacterized protein				1.0		
tr|X1RB81|X1RB81_9ZZZZ	X1RB81	100.0	196	0	0	1	196	1	196	1.9999999999999997e-143	406.0	X1RB81	X1RB81_9ZZZZ	TonB-dependent receptor-like beta-barrel domain-containing protein				1.0		
tr|X1QW30|X1QW30_9ZZZZ	X1QW30	100.0	216	0	0	1	216	1	216	2.5899999999999994e-158	446.0	X1QW30	X1QW30_9ZZZZ	Uncharacterized protein				1.0		
tr|X1QQX8|X1QQX8_9ZZZZ	X1QQX8	100.0	229	0	0	1	229	1	229	1.7399999999999993e-167	470.0	X1QQX8	X1QQX8_9ZZZZ	Solute-binding protein family 3/N-terminal domain-containing protein	extracellular region [GO:0005576]; outer membrane-bounded periplasmic space [GO:0030288]; amino acid transport [GO:0006865]			1.0	Bacterial solute-binding protein 3 family	PF00497;
tr|X1NGQ5|X1NGQ5_9ZZZZ	X1NGQ5	100.0	171	0	0	1	171	1	171	8.059999999999998e-124	355.0	X1NGQ5	X1NGQ5_9ZZZZ	LamG-like jellyroll fold domain-containing protein				1.0		PF13385;
tr|X1N5F4|X1N5F4_9ZZZZ	X1N5F4	100.0	226	0	0	1	226	1	226	3.939999999999999e-158	446.0	X1N5F4	X1N5F4_9ZZZZ	Crotonase	catalytic activity [GO:0003824]; fatty acid beta-oxidation [GO:0006635]			1.0	Enoyl-CoA hydratase/isomerase family	PF00378;
tr|X1N3Y2|X1N3Y2_9ZZZZ	X1N3Y2	100.0	161	0	0	1	161	1	161	4.929999999999999e-111	322.0	X1N3Y2	X1N3Y2_9ZZZZ	2Fe-2S ferredoxin-type domain-containing protein	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]			1.0		PF00111;PF01799;
tr|X1N1L6|X1N1L6_9ZZZZ	X1N1L6	100.0	136	0	0	1	136	1	136	7.739999999999998e-96	281.0	X1N1L6	X1N1L6_9ZZZZ	DUF35 domain-containing protein				1.0		PF12172;PF01796;
tr|X1MSU6|X1MSU6_9ZZZZ	X1MSU6	100.0	177	0	0	1	177	1	177	1.9599999999999995e-127	364.0	X1MSU6	X1MSU6_9ZZZZ	YqaJ viral recombinase domain-containing protein	iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]			1.0	FldB/FldC dehydratase alpha/beta subunit family	PF06050;
tr|X1MP29|X1MP29_9ZZZZ	X1MP29	100.0	146	0	0	1	146	1	146	5.959999999999999e-98	287.0	X1MP29	X1MP29_9ZZZZ	MaoC-like domain-containing protein	membrane [GO:0016020]; (3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]; fatty acid biosynthetic process [GO:0006633]			1.0		PF01575;
tr|X1MNW3|X1MNW3_9ZZZZ	X1MNW3	100.0	276	0	0	1	276	1	276	4.3299999999999985e-205	569.0	X1MNW3	X1MNW3_9ZZZZ	LamG-like jellyroll fold domain-containing protein				1.0		PF13385;
tr|X1ME48|X1ME48_9ZZZZ	X1ME48	100.0	258	0	0	1	258	1	258	1.7599999999999994e-195	543.0	X1ME48	X1ME48_9ZZZZ	PA14 domain-containing protein				1.0		PF07691;
tr|X1LM53|X1LM53_9ZZZZ	X1LM53	100.0	284	0	0	1	284	1	284	6.899999999999996e-206	572.0	X1LM53	X1LM53_9ZZZZ	Peptidase S8/S53 domain-containing protein	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]			1.0		PF03415;PF00082;
tr|X1LHN1|X1LHN1_9ZZZZ	X1LHN1	100.0	138	0	0	1	138	1	138	1.9599999999999995e-90	268.0	X1LHN1	X1LHN1_9ZZZZ	B12-binding domain-containing protein	cobalamin binding [GO:0031419]; isomerase activity [GO:0016853]; metal ion binding [GO:0046872]			1.0		PF02310;
tr|X1LDG2|X1LDG2_9ZZZZ	X1LDG2	100.0	579	0	0	1	579	1	579	0.0	1117.0	X1LDG2	X1LDG2_9ZZZZ	Ig-like domain-containing protein				1.0		PF13585;PF13573;
tr|X1L5K9|X1L5K9_9ZZZZ	X1L5K9	100.0	291	0	0	1	291	1	291	6.059999999999997e-199	555.0	X1L5K9	X1L5K9_9ZZZZ	FAD-binding PCMH-type domain-containing protein	FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]			1.0		PF03450;PF00941;
