accession,group,status,input_protein_name,input_reviewed_status,summary_protein_name,summary_organism,source_status,overall_profile_summary,identity_summary,reported_function_summary,go_annotation_summary,enzyme_and_reaction_summary,domain_family_and_feature_summary,pathway_and_context_summary,tool_prediction_summary,strong_or_curated_information,weak_predicted_or_indirect_information,conflicting_or_inconsistent_information,missing_or_limited_information,review_notes,validation_warnings,completeness_0_3,faithfulness_0_3,clarity_0_3,evidence_separation_0_3,caution_0_3,reviewer_missing_information,reviewer_overclaims_or_errors,reviewer_notes
Q46505,Reviewed UniProt proteins,success,NADP-reducing hydrogenase subunit HndA,reviewed,NADP-reducing hydrogenase subunit HndA,Solidesulfovibrio fructosivorans (Desulfovibrio fructosivorans),UniProtKB reviewed (Swiss-Prot),Uncharacterized protein from Solidesulfovibrio fructosivorans with reported NADP-reducing hydrogenase activity and predicted iron-sulfur cluster binding.,Protein name: NADP-reducing hydrogenase subunit HndA; Gene name: hndA; Organism: Solidesulfovibrio fructosivorans (Desulfovibrio fructosivorans); UniProt ID: UPI00000B40FE,Catalyzes the reduction of NADP in the presence of molecular H(2) to yield NADPH.,"GO:0051537 - 2 iron, 2 sulfur cluster binding (high confidence from upimapi)
GO:0046872 - metal ion binding (high confidence from upimapi)
GO:0016491 - oxidoreductase activity (high confidence from deepgo2)
GO:0050583 - hydrogen dehydrogenase (NADP+) activity (high confidence from uniprot and deepgo2)","EC: 1.12.1.3 - NADPH:proton oxidoreductase
Reaction: H2 + NADP(+) = NADPH + H(+)","PF01257 - Thioredoxin-like [2Fe-2S] ferredoxin (high confidence from upimapi)
[2Fe-2S] cluster binding site at position 98
Chain: NADP-reducing hydrogenase subunit HndA (1-171)","KEGG KO: K18330 - NADH dehydrogenase (ubiquinone)
KEGG Pathways: none
KEGG Modules: none","DeepGO2 predictions: GO:0051537, GO:0046872, GO:0016491, GO:0050583
DeepFRI predictions: GO:0051536, GO:0051540, GO:0005488, GO:0016696","Curated function: Catalyzes the reduction of NADP in the presence of molecular H(2) to yield NADPH.
EC number: 1.12.1.3
GO term: GO:0051537 - 2 iron, 2 sulfur cluster binding","DeepGO2 predictions: GO:0016491 (high confidence), GO:0050583 (high confidence)
DeepFRI predictions: GO:0051536 (medium confidence), GO:0051540 (medium confidence)",,"No information on subcellular location or catalytic activity
Limited information on pathways and context","Verify the EC number 1.12.1.3 against literature references.
Check whether the Pfam domain PF01257 covers the full sequence or only a partial region.
Confirm whether high-confidence ML predictions match the curated function reported in the record.",,,,,,,,,
Q2LXU2,Reviewed UniProt proteins,success,6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase,reviewed,6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase,Syntrophus aciditrophicus (strain SB),UniProtKB reviewed (Swiss-Prot),Uncharacterized protein from Syntrophus aciditrophicus with reported function in central benzoyl-CoA catabolism and predicted hydrolase activity.,Protein name: 6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase; Gene name: bamA; Synonyms: SYN_01654,"Involved in central benzoyl-CoA catabolism. Catalyzes the addition of one molecule of water to the double bond and the hydrolytic cleavage of C-C bond in the alicyclic ring, 6-oxocyclohex-1-ene-1-carbonyl-CoA (6-OCH-CoA) to yield 3-hydroxypimelyl-CoA.","GO:0018807 - 6-hydroxycyclohex-1-ene-1-carboxyl-CoA hydratase activity (high confidence from upimapi and uniprot)
GO:0016823 - hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances (high confidence from upimapi, eggnog, deepgo2, and uniprot)",EC: 3.7.1.21 - 6-oxocyclohex-1-ene-1-carbonyl-CoA + 2 H2O = 3-hydroxy-6-carboxyhexanoyl-CoA + H(+),"PF00378 - Enoyl-CoA hydratase/isomerase (high confidence from upimapi)
ECH_1 - Enoyl-CoA hydratase (high confidence from eggnog)
COG1024 - Enoyl-CoA hydratase/carnithine racemase (medium confidence from recognizer)",Aromatic compound metabolism; benzoyl-CoA degradation,"DeepGO2: GO:0016823 - hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances (medium confidence)
DeepGO2: GO:0018807 - 6-hydroxycyclohex-1-ene-1-carboxyl-CoA hydratase activity (high confidence)","Curated function: Involved in central benzoyl-CoA catabolism. Catalyzes the addition of one molecule of water to the double bond and the hydrolytic cleavage of C-C bond in the alicyclic ring, 6-oxocyclohex-1-ene-1-carbonyl-CoA (6-OCH-CoA) to yield 3-hydroxypimelyl-CoA.",Predicted hydrolase activity by DeepGO2,,Limited information on subcellular location and catalytic activity,"Verify the EC number reported in the input against literature references
Check whether Pfam PF00378 covers the full sequence or only a partial region
Confirm whether high-confidence ML predictions match the curated function reported in the input",,,,,,,,,
Q2RI41,Reviewed UniProt proteins,success,Oxalate oxidoreductase subunit alpha,reviewed,Oxalate oxidoreductase subunit alpha,Moorella thermoacetica (strain ATCC 39073 / JCM 9320),reviewed,"Uncharacterized protein from Moorella thermoacetica with reported function as oxalate oxidoreductase subunit alpha, predicted to have oxidoreductase activity and be involved in response to oxidative stress.",Protein name: Oxalate oxidoreductase subunit alpha; Gene name: porA (inferred by homology); UniProtKB reviewed entry with high annotation score.,"Catalyzes the anaerobic oxidation of oxalate using a broad range of electron acceptors, including ferredoxin and the nickel-dependent carbon monoxide dehydrogenase. Enables anaerobic growth on oxalate which is used as energy source by the bacteria.","GO:0016491 - oxidoreductase activity (high confidence from eggnog and deepgo2)
GO:0016625 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor (high confidence from eggnog, deepgo2, and UniProtKB)
GO:0005488 - binding transcription factor activity (medium confidence from deepgo2)","EC:1.2.7.10 - oxalate oxidoreductase (high confidence from eggnog, clean, and UniProtKB)","COG0674 - Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit (high confidence from recognizer)
PF17147 - Pyruvate:ferredoxin oxidoreductase core domain II (medium confidence from recognizer)","KEGG pathway: ko00010, ko00020, ko00620, ko00633, ko00640, ko00650, ko00680, ko00720, ko01100, ko01120, ko01130, ko01200 (no confidence level specified)","GO:0016491 - oxidoreductase activity (high confidence from eggnog and deepgo2)
GO:0016625 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor (high confidence from eggnog, deepgo2, and UniProtKB)","Catalyzes the anaerobic oxidation of oxalate using a broad range of electron acceptors, including ferredoxin and the nickel-dependent carbon monoxide dehydrogenase. Enables anaerobic growth on oxalate which is used as energy source by the bacteria.
GO:0016491 - oxidoreductase activity (high confidence from eggnog and deepgo2)
GO:0016625 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor (high confidence from eggnog, deepgo2, and UniProtKB)","GO:0005488 - binding transcription factor activity (medium confidence from deepgo2)
KEGG pathway: ko00010, ko00020, ko00620, ko00633, ko00640, ko00650, ko00680, ko00720, ko01100, ko01120, ko01130, ko01200 (no confidence level specified)",,"EC:1.2.7.10 - oxalate oxidoreductase (high confidence from eggnog, clean, and UniProtKB) has no literature references listed in the input
KEGG pathway: ko00010, ko00020, ko00620, ko00633, ko00640, ko00650, ko00680, ko00720, ko01100, ko01120, ko01130, ko01200 (no confidence level specified) has no literature references listed in the input","Suggest verifying EC:1.2.7.10 against literature references
Check if Pfam PF17147 covers the full sequence or only a partial region
Confirm whether high-confidence ML prediction matches curated function reported in the record",,,,,,,,,
P11560,Reviewed UniProt proteins,success,Methyl-coenzyme M reductase I subunit beta,reviewed,Methyl-coenzyme M reductase I subunit beta,Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg),reviewed,Uncharacterized protein from Methanothermobacter marburgensis with reported methyl-coenzyme M reductase activity and predicted coenzyme-B sulfoethylthiotransferase activity.,"The protein has a sequence length of 443 amino acids, a molecular weight of 47240 Da, and a CRC64 checksum of 1237E83E405E6D6B. The MD5 checksum is F92CDFEF78D3BDDE4935A89222FF04C9.","The protein has been reported to have methyl-coenzyme M reductase activity, catalyzing the reductive cleavage of methyl-coenzyme M (CoM-S-CH3 or 2-(methylthio)ethanesulfonate) using coenzyme B (CoB or 7-mercaptoheptanoylthreonine phosphate) as reductant.","GO:0050524 - coenzyme-B sulfoethylthiotransferase activity
GO:0015948 - methanogenesis",EC:2.8.4.1 - methyl-coenzyme M reductase (component C),"COG4054 - Methyl coenzyme M reductase, beta subunit
PF02241 - MCR_beta
PF02783 - MCR_beta_N",One-carbon metabolism; methyl-coenzyme M reduction; methane from methyl-coenzyme M: step 1/1,"GO:0050524 - coenzyme-B sulfoethylthiotransferase activity (high confidence)
GO:0015948 - methanogenesis (high confidence)","The protein has been reported to have methyl-coenzyme M reductase activity, catalyzing the reductive cleavage of methyl-coenzyme M (CoM-S-CH3 or 2-(methylthio)ethanesulfonate) using coenzyme B (CoB or 7-mercaptoheptanoylthreonine phosphate) as reductant.
The protein has been reported to have coenzyme-B sulfoethylthiotransferase activity.","GO:0016491 - oxidoreductase activity (low confidence)
GO:0042802 - lyase activity (low confidence)",,"The protein's subcellular location is not specified.
The protein's catalytic activity is not fully understood.","Verify the reported EC number (2.8.4.1) against literature references.
Check whether the Pfam domains cover the full sequence or only a partial region.
Confirm whether high-confidence ML predictions match the curated function reported in the record.
Investigate why two tools report different confidence levels for the same GO term.",,,,,,,,,
P06131,Reviewed UniProt proteins,success,F420-dependent formate dehydrogenase subunit alpha,reviewed,F420-dependent formate dehydrogenase subunit alpha,Methanobacterium formicicum,UniProtKB reviewed (Swiss-Prot),Uncharacterized protein from Methanobacterium formicicum with reported function as F420-dependent formate dehydrogenase subunit alpha.,"The protein is a subunit of the F420-dependent formate dehydrogenase enzyme, which catalyzes the oxidation of formate to carbon dioxide using coenzyme F420 as the electron acceptor. The protein has been identified in Methanobacterium formicicum and has a molecular weight of 75717.","The reported function is F420-dependent formate dehydrogenase subunit alpha, which catalyzes the oxidation of formate to carbon dioxide using coenzyme F420 as the electron acceptor. The protein has been identified in Methanobacterium formicicum and has a molecular weight of 75717.","GO:0051539 - 4 iron, 4 sulfur cluster binding (high confidence from upimapi)
GO:0008863 - formate dehydrogenase (NAD+) activity (high confidence from uniprot)
GO:0046872 - metal ion binding (high confidence from upimapi)
GO:0043546 - molybdopterin cofactor binding (high confidence from uniprot)",EC:1.17.98.3 - formate dehydrogenase (coenzyme F420) activity,"PF04879 - Molybdop_Fe4S4
PF00384 - Molybdopterin
PF01568 - Molydop_binding
TIGR01591 - formate dehydrogenase subunit alpha","KEGG pathway: ko00630, ko00680, ko01100, ko01120, ko01200","GO:0016491 - oxidoreductase activity (high confidence from deepgo2)
GO:0003824 - catalytic activity (high confidence from deepgo2)","The protein is a subunit of the F420-dependent formate dehydrogenase enzyme, which catalyzes the oxidation of formate to carbon dioxide using coenzyme F420 as the electron acceptor.
The protein has been identified in Methanobacterium formicicum and has a molecular weight of 75717.","GO:0043167 - transition metal ion binding (low confidence from deepgo2)
GO:0016053 - electron transport chain (low confidence from deepgo2)",,"The protein's subcellular location is not specified.
The protein's catalytic activity is not fully described.","Verify the EC number reported in the input against the literature references also listed in the input.
Check whether the Pfam (or other domain) reported in the input covers the full sequence or only a partial region.
Confirm whether high-confidence ML predictions match the curated function reported in the input.",,,,,,,,,
B3E8W6,Poorly annotated proteins,success,Uncharacterized protein,unreviewed,Uncharacterized protein,Trichlorobacter lovleyi (strain ATCC BAA-1151 / DSM 17278 / SZ),UniProtKB unreviewed (TrEMBL),Uncharacterized protein from Trichlorobacter lovleyi with predicted molecular functions and cellular components by DeepGO2 tool.,Protein name: Uncharacterized protein; Gene name: None; Alternative names: []; Organism: Trichlorobacter lovleyi (strain ATCC BAA-1151 / DSM 17278 / SZ); UniProt ID: UPI000175D59C,No curated function reported in the record.,"GO:0005488 - binding (confidence-medium from deepgo2)
GO:0005515 - protein binding (confidence-medium from deepgo2)
GO:0042802 - identical protein binding (confidence-medium from deepgo2)
GO:0046812 - catalytic activity, acting on a protein (confidence-low from deepfri)
GO:0030246 - catalytic activity, acting on a protein (confidence-low from deepgo2)
GO:0016787 - catalytic activity, acting on a protein (confidence-low from deepgo2)
GO:0003824 - catalytic activity, acting on a protein (confidence-low from deepgo2)
GO:0046790 - catalytic activity, acting on a protein (confidence-low from deepgo2)
GO:0030247 - catalytic activity, acting on a protein (confidence-low from deepgo2)
GO:0140096 - catalytic activity, acting on a protein (confidence-low from deepfri)",EC:4.2.2.17 - predicted enzyme by CLEAN tool,"Signal - predicted feature by SAM tool
Chain - predicted feature by SAM tool",,"DeepGO2: Predicted molecular functions and cellular components with medium to low confidence.
DeepFRI: Predicted catalytic activity, acting on a protein with low confidence.",,"Predicted enzyme by CLEAN tool
Predicted feature by SAM tool",,"No curated function reported in the record.
No EC numbers reported in the record.","Verify the predicted enzyme activity against literature references.
Check if the Signal and Chain features cover the full sequence or only a partial region.
Confirm whether high-confidence ML predictions match the curated function (none available).
Investigate why two tools report different confidence levels for the same GO term.",,,,,,,,,
I9KF72,Poorly annotated proteins,success,Uncharacterized protein,unreviewed,Uncharacterized protein,null,unreviewed,Uncharacterized protein from organism with no curated function but predicted GO terms by DeepGO2 and DeepFRI tools.,"No gene name, reviewed status: unreviewed, entry type: Inactive, annotation score: 0.0",No reported functions in the record.,"GO:0005488 - binding (medium confidence from DeepGO2)
GO:0005515 - binding (medium confidence from DeepGO2)
GO:0042802 - binding (medium confidence from DeepGO2)
GO:0003677 - DNA binding (low confidence from DeepFRI)
GO:0016788 - hydrolase activity, acting on ester bonds (low confidence from DeepFRI)",EC:3.4.24.33 - predicted by CLEAN tool,,,"DeepGO2 predictions for GO terms with medium to low confidence
DeepFRI predictions for GO terms with low confidence",,,,"Organism taxonomy data is missing.
No curated function or EC numbers in the record.","Verify the predicted EC number (3.4.24.33) against literature references.
Check if Pfam domains cover the full sequence or only partial regions.
Confirm whether high-confidence ML predictions match the curated function reported in the input.",,,,,,,,,
G8TMW4,Poorly annotated proteins,success,Uncharacterized protein,unreviewed,Uncharacterized protein,Niastella koreensis (strain DSM 17620 / KACC 11465 / NBRC 106392 / GR20-10),UniProtKB unreviewed (TrEMBL),Uncharacterized protein from Niastella koreensis with predicted molecular functions by DeepGO2.,Protein name: Uncharacterized protein; Gene name: None; Alternative names: []; Organism: Niastella koreensis (strain DSM 17620 / KACC 11465 / NBRC 106392 / GR20-10); UniProt ID: UPI00023F6DB9.,No curated function reported in the record.,"GO:0005488 - binding (confidence: medium from DeepGO2)
GO:0005515 - protein binding (confidence: medium from DeepGO2)
GO:0042802 - identical protein binding (confidence: low from DeepGO2)
GO:0046812 - phospholipid binding (confidence: low from DeepGO2)
GO:0030247 - lipid binding (confidence: low from DeepGO2)
GO:0030246 - glycerophospholipid binding (confidence: low from DeepGO2)",EC:3.2.2.22 - exo-alpha-sialidase activity (confidence: low from CLEAN),"Disordered region (position start: 1, position end: 22) with evidence from SAM",,"DeepGO2 predicted molecular functions: binding, protein binding, identical protein binding, phospholipid binding, lipid binding, glycerophospholipid binding (confidence levels: medium to low)",No curated function reported in the record.,Predicted molecular functions by DeepGO2 with confidence levels from medium to low,,Gene name: None,"Verify the EC number 3.2.2.22 against literature references.
Check if the Pfam domain covers the full sequence or only a partial region.
Confirm whether high-confidence ML predictions match the curated function (none reported).
Investigate why two tools report different confidence levels for the same GO term.",,,,,,,,,
Q01Q37,Poorly annotated proteins,success,Uncharacterized protein,unreviewed,Uncharacterized protein,Solibacter usitatus (strain Ellin6076),UniProtKB unreviewed (TrEMBL),Uncharacterized protein from Solibacter usitatus with predicted domains by eggnog and tool predictions for various GO terms.,Protein name: Uncharacterized protein; Gene name: null; Alternative names: []; Organism: Solibacter usitatus (strain Ellin6076); UniProt ID: UPI0000E57DEA,No curated function reported in the record.,"GO:0005488 - hydrolase activity, acting on glycosyl bonds (medium confidence from deepgo2)
GO:0005515 - protein binding (medium confidence from deepgo2)
GO:0042802 - identical protein binding (medium confidence from deepgo2)
GO:0003824 - catalytic activity (low confidence from deepgo2)
GO:0016787 - molecular function unknown (low confidence from deepgo2)
GO:0030246 - molecular function unknown (low confidence from deepgo2)
GO:0016798 - hydrolase activity, acting on glycosyl bonds (low confidence from deepfri)
GO:0008233 - peptidase activity (low confidence from deepfri)",EC: 3.2.2.22 - glycosyl hydrolase (low confidence from clean),"PFAM: Big_3_5, VCBS (high confidence from eggnog)
Signal: Signal (EXACT position start: 1, EXACT position end: 23) (evidenced by SAM: SignalP)",,"DeepGO2 predictions for various GO terms with medium to low confidence
DeepFRI predictions for hydrolase activity and peptidase activity with low confidence",No curated function reported in the record.,"Predicted domains by eggnog
Tool predictions for various GO terms with medium to low confidence",,"No curated function reported in the record.
Limited information on protein function and pathways.","Verify EC number 3.2.2.22 against literature references (CI-9MICB7K26JNDR).
Check if Pfam domains cover full sequence or only partial regions.
Confirm if high-confidence ML predictions match curated function reported in the record.",,,,,,,,,
A1ATR7,Poorly annotated proteins,success,Uncharacterized protein,unreviewed,Uncharacterized protein,Pelobacter propionicus (strain DSM 2379 / NBRC 103807 / OttBd1),UniProtKB unreviewed (TrEMBL),"Uncharacterized protein from Pelobacter propionicus with predicted molecular functions and cellular components by DeepGO2, but no curated function.",Protein name: Uncharacterized protein; Alternative names: []; Gene name: null; Gene name inferred: null; Gene name synonyms: []; Gene name synonym details: []; Reviewed status: unreviewed; Entry type: UniProtKB unreviewed (TrEMBL); Annotation score: 1.0; Protein existence: Predicted.,No curated function reported in the record.,"GO:0003824 - catalytic activity (high confidence from DeepGO2)
GO:0005488 - binding (medium confidence from DeepGO2)
GO:0016829 - electron transfer activity (low confidence from DeepGO2)
GO:0043167 - transition metal ion binding (low confidence from DeepGO2)
GO:0046872 - metal ion binding (low confidence from DeepGO2)
GO:0016491 - oxidoreductase activity (low confidence from DeepGO2)
GO:0046914 - transition metal ion binding (low confidence from DeepFRI)
GO:0009055 - electron transfer activity (low confidence from DeepFRI)",EC:1.3.7.15 - NADH dehydrogenase (low confidence from CLEAN),,,"DeepGO2 predicted molecular functions and cellular components with high, medium, and low confidence.
DeepFRI predicted transition metal ion binding and electron transfer activity with low confidence.",No curated function reported in the record.,"Predicted molecular functions and cellular components by DeepGO2.
Predicted transition metal ion binding and electron transfer activity by DeepFRI.",,"No gene name or synonyms reported in the record.
No subcellular location, catalytic activity, pathway, or similarity information reported in the record.","Verify EC:1.3.7.15 against literature references (CI-4AF5IFHSPBG3R).
Check if Pfam domains cover full sequence or only partial regions.
Confirm high-confidence ML predictions match curated function (none reported).
Investigate why two tools report different confidence levels for the same GO term.",,,,,,,,,
