qseqid	DB ID	Protein description	DB description	EC number	CDD ID	taxonomic_range_name	taxonomic_range	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
tr|A0B5T7|A0B5T7_METTP	cd07398		Escherichia coli YbbF/LpxH and related proteins, metallophosphatase domain. YbbF/LpxH is an Escherichia coli UDP-2,3-diacylglucosamine hydrolase thought to catalyze the fourth step of lipid A biosynthesis, in which a precursor UDP-2,3-diacylglucosamine is hydrolyzed to yield 2,3-diacylglucosamine 1-phosphate and UMP.  YbbF belongs to the metallophosphatase (MPP) superfamily.  MPPs are functionally diverse, but all share a conserved domain with an active site consisting of two metal ions (usually manganese, iron, or zinc) coordinated with octahedral geometry by a cage of histidine, aspartate, and asparagine residues. The MPP superfamily includes: Mre11/SbcD-like exonucleases, Dbr1-like RNA lariat debranching enzymes, YfcE-like phosphodiesterases, purple acid phosphatases (PAPs), YbbF-like UDP-2,3-diacylglucosamine hydrolases, and acid sphingomyelinases (ASMases).  The conserved domain is a double beta-sheet sandwich with a di-metal active site made up of residues located at the C-terminal side of the sheets. This domain is thought to allow for productive metal coordination.		CDD:277343			22.134	253.0	158.0	8.0	3.0	252.0	1.0	217.0	3.48e-44	147.0
tr|A0B5W5|A0B5W5_METTP	cd01916		Acetyl-CoA synthase (ACS), also known as acetyl-CoA decarbonylase, is found in acetogenic and methanogenic organisms and is responsible for the synthesis and breakdown of acetyl-CoA.  ACS forms a heterotetramer with carbon monoxide dehydrogenase (CODH) consisting of two ACS and two CODH subunits. CODH reduces carbon dioxide to carbon monoxide and ACS then synthesizes acetyl-CoA from carbon monoxide, CoA, and a methyl group donated by another protein (CoFeSP).  ACS has three structural domains, an N-terminal rossman fold domain with a helical region at its N-terminus which interacts with CODH, and two alpha + beta fold domains.  A Ni-Fe-S center referred to as the A-cluster is located in the C-terminal domain. A large cavity exists between the three domains which may bind CoA.		CDD:238897			61.662	746.0	271.0	2.0	34.0	779.0	1.0	731.0	0.0	1295.0
tr|A0B5Z1|A0B5Z1_METTP	cd07709		catalytic domain of flavodiiron proteins (FDPs) and related proteins; MBL-fold metallo-hydrolase domain. FDPs catalyze the reduction of oxygen and/or nitric oxide to water or nitrous oxide respectively. In addition to this N-terminal catalytic domain they contain a C-terminal flavin mononucleotide-binding flavodoxin-like domain. Although some FDPs are able to reduce NO or O2 with similar catalytic efficiencies others are selective for either NO or O2, such as Escherichia coli flavorubredoxin which is selective toward NO and G. intestinalis FDP which is selective toward O2. These enzymes belong to the MBL-fold metallo-hydrolase superfamily which is comprised mainly of hydrolytic enzymes which carry out a variety of biological functions. Some members of this subgroup are single domain.		CDD:293795			44.118	238.0	125.0	5.0	3.0	233.0	1.0	237.0	2.74e-97	288.0
tr|A0B6R9|A0B6R9_METTP	cd00293		"universal stress protein (USP) and similar proteins. The universal stress protein (USP) is a small cytoplasmic bacterial protein whose expression is enhanced when the cell is exposed to stress agents. USP enhances the rate of cell survival during prolonged exposure to such conditions, and may provide a general ""stress endurance"" activity. The crystal structure of Haemophilus influenzae Usp reveals an alpha/beta fold similar to that of the Methanococcus jannaschii MJ0577 protein, which binds ATP, although USP lacks ATP-binding activity."		CDD:467483			43.796	137.0	75.0	1.0	4.0	140.0	1.0	135.0	1.17e-37	123.0
tr|A0B7F1|A0B7F1_METTP	cl00262		N/A. This is sensor domain found in bacterial periplasmic binding proteins, several of which are involved in iron and cobalamin transport. Among its ligands are siderophores bacillibactin, enterobactin and iron(III)-hydroxamates (Matilla et. al., FEMS Microbiology Reviews, fuab043, 45, 2021, 1 https://doi.org/10.1093/femsre/fuab043).		CDD:469696												
tr|A0B7J1|A0B7J1_METTP	cl11493		PQQ-dependent dehydrogenases and related proteins. Members of this protein family are YfgL, a lipoprotein component of a complex that acts protein insertion into the bacterial outer membrane. Other members of this complex are NlpB, YfiO, and YaeT. This protein contains multiple copies of a repeat that, in other contexts, are associated with binding of the coenzyme PQQ. [Protein fate, Protein and peptide secretion and trafficking]		CDD:472205												
tr|A0B7J2|A0B7J2_METTP	cl11493		PQQ-dependent dehydrogenases and related proteins. Members of this protein family are YfgL, a lipoprotein component of a complex that acts protein insertion into the bacterial outer membrane. Other members of this complex are NlpB, YfiO, and YaeT. This protein contains multiple copies of a repeat that, in other contexts, are associated with binding of the coenzyme PQQ. [Protein fate, Protein and peptide secretion and trafficking]		CDD:472205												
tr|A0B7J2|A0B7J2_METTP	cd10150		CobN subunit of cobaltochelatase, bchH and chlH subunits of magnesium chelatases, and similar proteins. Cobaltochelatase is a complex enzyme that catalyzes the insertion of cobalt into hydrogenobyrinic acid a,c-diamide, resulting in cobyrinic acid, as demonstrated for Pseudomonas denitrificans. This is an essential step in the bacterial synthesis of cobalamine (B12). The insertion of cobalt requires a complex composed of three polypeptides, cobN, cobS, and cobT. Also included in this family are protoporphyrin IX magnesium chelatases involved in the synthesis of chlorophyll and bacteriochlorophyll, specifically the large (chlH or bchH) subunits.They are thought to bind both the protoporphyrin and the magnesium ion. Hydrolysis of ATP by the smaller subunits in the complex may trigger a conformational change that results in the insertion of the ion into the protoporphyrin scaffold. Cryo electron microscopy studies have suggested that a distinct bchH C-terminal domain may bind tightly to the N-terminal domain upon substrate binding, requiring a substantial conformational change of the bchH subunit. It has also been suggested that chlH of higher plants binds abscisic acid via a C-terminal domain and plays a role in abscisic acid signaling, and that the protein spans the chloroplast envelope, with the C-terminus exposed to the cytosol.		CDD:199903			39.828	1047.0	461.0	19.0	544.0	1569.0	12.0	910.0	0.0	1101.0
tr|A0B7N6|A0B7N6_METTP	cd01335		Radical SAM superfamily. Enzymes of this family generate radicals by combining a 4Fe-4S cluster and S-adenosylmethionine (SAM) in close proximity. They are characterized by a conserved CxxxCxxC motif, which coordinates the conserved iron-sulfur cluster. Mechanistically, they share the transfer of a single electron from the iron-sulfur cluster to SAM, which leads to its reductive cleavage to methionine and a 5'-deoxyadenosyl radical, which, in turn, abstracts a hydrogen from the appropriately positioned carbon atom. Depending on the enzyme, SAM is consumed during this process or it is restored and reused. Radical SAM enzymes catalyze steps in metabolism, DNA repair, the biosynthesis of vitamins and coenzymes, and the biosynthesis of many antibiotics. Examples are biotin synthase (BioB), lipoyl synthase (LipA), pyruvate formate-lyase (PFL), coproporphyrinogen oxidase (HemN), lysine 2,3-aminomutase (LAM), anaerobic ribonucleotide reductase (ARR), and  MoaA, an enzyme of the biosynthesis of molybdopterin.		CDD:100105			23.902	205.0	139.0	9.0	81.0	274.0	6.0	204.0	5.84e-15	70.8
tr|A0B7T7|A0B7T7_METTP	cl09929		N/A. This domain is found in various molybdopterin - containing oxidoreductases and tungsten formylmethanofuran dehydrogenase subunit d (FwdD) and molybdenum formylmethanofuran dehydrogenase subunit (FmdD); where the domain constitutes almost the entire subunit. The formylmethanofuran dehydrogenase catalyzes the first step in methane formation from CO2 in methanogenic archaea and has a molybdopterin dinucleotide cofactor. This domain corresponds to the C-terminal domain IV in dimethyl sulfoxide (DMSO)reductase which interacts with the 2-amino pyrimidone ring of both molybdopterin guanine dinucleotide molecules.		CDD:447861												
