Entry	Entry Name	Protein names	Gene Ontology (GO)	Function [CC]	EC number	Annotation	Protein families	Pfam
F4BX99	F4BX99_METSG	Periplasmic binding protein	polysaccharide catabolic process [GO:0000272]			1.0		PF01497;
G2EHN0	G2EHN0_9FLAO	T9SS type B sorting domain-containing protein				1.0		PF13585;PF13573;
E5CCB9	E5CCB9_9BACE	Alpha-2-macroglobulin domain-containing protein	endopeptidase inhibitor activity [GO:0004866]			1.0		PF00207;PF17973;PF13715;
A0A1V4V1D3	A0A1V4V1D3_9EURY	Amino acid-binding protein				1.0		
Q2FS26	Q2FS26_METHJ	DUF3821 domain-containing protein				1.0		PF12863;
Q3A7D0	Q3A7D0_SYNC1	Cobalamin uptake ligand-gated TonB-dependent outer membrane channel	cell outer membrane [GO:0009279]; cobalamin transport [GO:0015889]; monoatomic ion transport [GO:0006811]			1.0	TonB-dependent receptor family	PF07715;PF00593;
Q8S5S7	Q8S5S7_ORYSJ	RNA-directed DNA polymerase (EC 2.7.7.49)	nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]		2.7.7.49	2.0		PF03732;PF17917;PF17919;PF13456;
A0A1V4V8W1	A0A1V4V8W1_9EURY	Ribulose bisphosphate carboxylase (EC 4.1.1.39)	magnesium ion binding [GO:0000287]; ribulose-bisphosphate carboxylase activity [GO:0016984]; carbon fixation [GO:0015977]		4.1.1.39	1.0		PF00016;PF02788;
U5Q7I2	U5Q7I2_9BACT	Small heat shock protein C2				1.0	Small heat shock protein (HSP20) family	PF00011;
F4BZ32	F4BZ32_METSG	Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1, EC 2.5.1.10)	(2E,6E)-farnesyl diphosphate synthase activity [GO:0004337]; dimethylallyltranstransferase activity [GO:0004161]; isoprenoid biosynthetic process [GO:0008299]		2.5.1.1; 2.5.1.10	1.0	FPP/GGPP synthase family	PF00348;
G2T0P2	G2T0P2_ROSHA	Extracellular solute-binding protein	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0	Bacterial solute-binding protein 5 family	PF00496;
F7NEC2	F7NEC2_9FIRM	Aldehyde oxidase and xanthine dehydrogenase molybdopterin binding protein	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]			1.0	Xanthine dehydrogenase family	PF01315;PF00111;PF01799;PF02738;PF20256;
Q39W76	ILVC_GEOMG	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	cytosol [GO:0005829]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	FUNCTION: Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol-acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3-dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3-hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate. {ECO:0000255|HAMAP-Rule:MF_00435}.	1.1.1.86	4.0	Ketol-acid reductoisomerase family	PF01450;PF07991;
A1AUU0	A1AUU0_PELPD	NADH dehydrogenase subunit E (EC 1.6.5.3)	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		1.6.5.3	1.0	Complex I 24 kDa subunit family	PF01257;
D8EXB5	D8EXB5_9DELT	Electron transfer flavoprotein FAD-binding domain protein	electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]			1.0	ETF alpha-subunit/FixB family	PF01012;PF00766;
M3A349	M3A349_STRMB	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	cytosol [GO:0005829]; ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate metabolic process [GO:0006072]	FUNCTION: Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn-glycerol 3-phosphate. {ECO:0000256|HAMAP-Rule:MF_00186}.	2.7.1.30	3.0	FGGY kinase family	PF02782;PF00370;
A5P862	A5P862_9SPHN	Zinc-dependent metallopeptidase	membrane [GO:0016020]; metallopeptidase activity [GO:0008237]; peptidyl-dipeptidase activity [GO:0008241]; proteolysis [GO:0006508]			1.0		PF01401;
W9NZ45	W9NZ45_FUSOX	Zn(2)-C6 fungal-type domain-containing protein	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]			1.0		PF11951;PF00172;
Q0D4D9	Q0D4D9_ORYSJ	Os07g0633000 protein				1.0		PF09366;
E8WJQ7	E8WJQ7_GEOS8	Porin domain-containing protein	membrane [GO:0016020]; porin activity [GO:0015288]			1.0		PF13609;
V7I1S4	V7I1S4_9CLOT	ABC transporter substrate-binding protein	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0	Bacterial solute-binding protein 5 family	PF00496;
X1KHK2	X1KHK2_9ZZZZ	Thiolase N-terminal domain-containing protein	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]			1.0		PF00108;
R1ASS6	R1ASS6_9FIRM	Stage V sporulation protein (SpoVS)	nucleic acid binding [GO:0003676]			1.0		PF04232;
D9ZEH2	D9ZEH2_9ZZZZ	Solute-binding protein family 5 domain-containing protein	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0	Bacterial solute-binding protein 5 family	PF00496;
F4BXM1	F4BXM1_METSG	Uncharacterized protein				1.0		PF18065;PF18047;
F4C009	F4C009_METSG	CARDB domain protein				1.0		PF07705;
A9BGN9	A9BGN9_PETMO	Glutamate dehydrogenase	glutamate dehydrogenase (NAD+) activity [GO:0004352]; nucleotide binding [GO:0000166]; glutamate catabolic process [GO:0006538]			2.0	Glu/Leu/Phe/Val dehydrogenases family	PF00208;PF02812;
P26692	ACDA_METSH	Acetyl-CoA decarbonylase/synthase complex subunit alpha (ACDS complex subunit alpha) (EC 1.2.7.4) (ACDS complex carbon monoxide dehydrogenase subunit alpha) (ACDS CODH subunit alpha)	4 iron, 4 sulfur cluster binding [GO:0051539]; anaerobic carbon-monoxide dehydrogenase activity [GO:0043885]; hydroxylamine reductase activity [GO:0050418]; iron ion binding [GO:0005506]; nickel cation binding [GO:0016151]; peroxidase activity [GO:0004601]; acetyl-CoA metabolic process [GO:0006084]; response to hydrogen peroxide [GO:0042542]	FUNCTION: Part of the ACDS complex that catalyzes the reversible cleavage of acetyl-CoA, allowing autotrophic growth from CO(2). The alpha-epsilon subcomponent functions as a carbon monoxide dehydrogenase. {ECO:0000255|HAMAP-Rule:MF_01137}.	1.2.7.4	3.0	Ni-containing carbon monoxide dehydrogenase family	PF03063;
D5EGB9	D5EGB9_AMICL	S-layer domain protein				1.0		PF00395;
