qseqid	DB ID	Protein description	DB description	EC number	CDD ID	taxonomic_range_name	taxonomic_range	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
tr|A0B5W5|A0B5W5_METTP	PRK09529	bifunctional acetyl-CoA decarbonylase/synthase complex subunit alpha/beta (Provisional)	bifunctional acetyl-CoA decarbonylase/synthase complex subunit alpha/beta; Reviewed		CDD:236550	cellular organisms	131567	25.157	159.0	105.0	5.0	493.0	651.0	116.0	260.0	0.000182	43.4
tr|A0B5Z1|A0B5Z1_METTP	PRK11921	anaerobic nitric oxide reductase flavorubredoxin	anaerobic nitric oxide reductase flavorubredoxin. 		CDD:237023	cellular organisms	131567	29.676	401.0	241.0	17.0	5.0	378.0	3.0	389.0	2.61e-58	193.0
tr|A0B6R9|A0B6R9_METTP	cl00292		Adenine nucleotide alpha hydrolase (AANH) superfamily. tRNA-cytidine(32) 2-sulfurtransferase, also called two-thiocytidine biosynthesis protein A or tRNA 2-thiocytidine biosynthesis protein TtcA, catalyzes the ATP-dependent 2-thiolation of cytidine in position 32 of tRNA, to form 2-thiocytidine (s(2)C32). TtcA belongs to the adenine nucleotide alpha hydrolase superfamily (AANH) that includes N-type ATP PPases and ATP sulfurylases. It forms an alpha/beta/alpha fold which binds to the adenosine group. This domain has a strongly conserved motif SGGKD at the N-terminus.		CDD:469708												
tr|A0B7F1|A0B7F1_METTP	PRK14048	ferrichrome/ferrioxamine B periplasmic transporter (Provisional)	ferrichrome/ferrioxamine B periplasmic transporter; Provisional		CDD:172540	Bacteria	2	23.398	359.0	213.0	16.0	56.0	375.0	24.0	359.0	1.7e-11	63.4
tr|A0B7J1|A0B7J1_METTP	cl11493		PQQ-dependent dehydrogenases and related proteins. Members of this protein family are YfgL, a lipoprotein component of a complex that acts protein insertion into the bacterial outer membrane. Other members of this complex are NlpB, YfiO, and YaeT. This protein contains multiple copies of a repeat that, in other contexts, are associated with binding of the coenzyme PQQ. [Protein fate, Protein and peptide secretion and trafficking]		CDD:472205												
tr|A0B7J2|A0B7J2_METTP	PRK05989	cobaltochelatase subunit CobN	cobaltochelatase subunit CobN; Reviewed	6.6.1.2	CDD:235663	Gammaproteobacteria	1236	34.081	1203.0	699.0	32.0	552.0	1696.0	76.0	1242.0	0.0	1074.0
tr|A0B7J2|A0B7J2_METTP	PRK05989	cobaltochelatase subunit CobN	cobaltochelatase subunit CobN; Reviewed	6.6.1.2	CDD:235663	cellular organisms	131567	34.081	1203.0	699.0	32.0	552.0	1696.0	76.0	1242.0	0.0	1074.0
tr|A0B7J2|A0B7J2_METTP	PRK05989	cobaltochelatase subunit CobN	cobaltochelatase subunit CobN; Reviewed	6.6.1.2	CDD:235663	Terrabacteria group	1783272	34.081	1203.0	699.0	32.0	552.0	1696.0	76.0	1242.0	0.0	1074.0
tr|A0B7J2|A0B7J2_METTP	PRK05989	cobaltochelatase subunit CobN	cobaltochelatase subunit CobN; Reviewed	6.6.1.2	CDD:235663	Bacteria	2	34.081	1203.0	699.0	32.0	552.0	1696.0	76.0	1242.0	0.0	1074.0
tr|A0B7J2|A0B7J2_METTP	PRK05989	cobaltochelatase subunit CobN	cobaltochelatase subunit CobN; Reviewed	6.6.1.2	CDD:235663	Methanococcales	2182	34.081	1203.0	699.0	32.0	552.0	1696.0	76.0	1242.0	0.0	1074.0
tr|A0B7J2|A0B7J2_METTP	PRK05989	cobaltochelatase subunit CobN	cobaltochelatase subunit CobN; Reviewed	6.6.1.2	CDD:235663	Betaproteobacteria	28216	34.081	1203.0	699.0	32.0	552.0	1696.0	76.0	1242.0	0.0	1074.0
tr|A0B7J2|A0B7J2_METTP	PRK05989	cobaltochelatase subunit CobN	cobaltochelatase subunit CobN; Reviewed	6.6.1.2	CDD:235663	Euryarchaeota	28890	34.081	1203.0	699.0	32.0	552.0	1696.0	76.0	1242.0	0.0	1074.0
tr|A0B7J2|A0B7J2_METTP	cl11493		PQQ-dependent dehydrogenases and related proteins. Members of this protein family are YfgL, a lipoprotein component of a complex that acts protein insertion into the bacterial outer membrane. Other members of this complex are NlpB, YfiO, and YaeT. This protein contains multiple copies of a repeat that, in other contexts, are associated with binding of the coenzyme PQQ. [Protein fate, Protein and peptide secretion and trafficking]		CDD:472205												
tr|A0B7T7|A0B7T7_METTP	PRK15102	trimethylamine-N-oxide reductase TorA	trimethylamine-N-oxide reductase TorA. 	1.7.2.3	CDD:237909	Proteobacteria	1224	34.375	64.0	37.0	1.0	24.0	82.0	698.0	761.0	9.94e-06	41.6
tr|A0B7Z8|A0B7Z8_METTP	PRK15413	glutathione ABC transporter substrate-binding protein GsiB	glutathione ABC transporter substrate-binding protein GsiB; Provisional		CDD:185311	Proteobacteria	1224	27.35	351.0	213.0	11.0	61.0	397.0	62.0	384.0	2.8099999999999998e-30	122.0
tr|A0B8F2|A0B8F2_METTP	PRK00174	acetate--CoA ligase	acetyl-CoA synthetase; Provisional	6.2.1.1	CDD:234677	cellular organisms	131567	56.454	643.0	264.0	7.0	26.0	666.0	1.0	629.0	0.0	1068.0
