qseqid	DB ID	Protein description	DB description	EC number	CDD ID	taxonomic_range_name	taxonomic_range	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
tr|A0B5W5|A0B5W5_METTP	TIGR00314	CO dehydrogenase/acetyl-CoA synthase complex subunit epsilon	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit. Acetyl-CoA decarbonylase/synthase (ACDS) is a multienzyme complex. Carbon monoxide dehydrogenase is a synonym. The ACDS complex carries out an unusual reaction involving the reversible cleavage and synthesis of acetyl-CoA in methanogens. The model contains the prosite signature for 4Fe-4S ferredoxins [C-x(2)-C-x(2)-C-x(3)-C-[PEG]] between residues 448-462 of the model. [Energy metabolism, Chemoautotrophy]	1.2.7.4	CDD:129414	cellular organisms	131567	54.969	795.0	343.0	3.0	5.0	798.0	4.0	784.0	0.0	1072.0
tr|A0B6Z3|A0B6Z3_METTP	TIGR04126	PGF-CTERM sorting domain-containing protein	PGF-CTERM archaeal protein-sorting signal. This model describes a strictly archaeal putative protein-sorting motif, PGF-CTERM. It is the (predicted) recognition sequence for an exosortase homolog, archaeosortase (TIGR04125). In some archaea, up to fifty proteins have this domain as their C-terminal region, usually preceded by a Thr-rich region likely to be heavily glycosylated. The removal of this sorting signal may be associated with a C-terminal prenyl group modification in the halobacterial major cell surface glycoprotein, an S-layer protein.		CDD:274999	Euryarchaeota	28890	52.0	25.0	12.0	0.0	696.0	720.0	4.0	28.0	3.17e-06	41.3
tr|A0B6Z3|A0B6Z3_METTP	cl23990		S-layer protein. This model represents a sequence region found tandemly duplicated in two proven archaeal S-layer glycoproteins, MA0829 from Methanosarcina acetivorans C2A and MM1976 from Methanosarcina mazei Go1, as well as in several paralogs of those L-layer proteins from both species. Members of the family show regions of local similarity to another known family of archaeal S-layer proteins described by model TIGR01564. Some members of this family, including the proven S-layer proteins, have the archaeosortase A target motif, PGF-CTERM (TIGR04126), at the protein C-terminus. [Cell envelope, Surface structures]		CDD:451645												
tr|A0B7J1|A0B7J1_METTP	cl11493		PQQ-dependent dehydrogenases and related proteins. Members of this protein family are YfgL, a lipoprotein component of a complex that acts protein insertion into the bacterial outer membrane. Other members of this complex are NlpB, YfiO, and YaeT. This protein contains multiple copies of a repeat that, in other contexts, are associated with binding of the coenzyme PQQ. [Protein fate, Protein and peptide secretion and trafficking]		CDD:472205												
tr|A0B7J2|A0B7J2_METTP	TIGR02257	cobaltochelatase subunit CobN	cobaltochelatase, CobN subunit. [Biosynthesis of cofactors, prosthetic groups, and carriers, Heme, porphyrin, and cobalamin]	6.6.1.2	CDD:131310	cellular organisms	131567	31.406	1124.0	591.0	37.0	605.0	1689.0	133.0	1115.0	0.0	622.0
tr|A0B7J2|A0B7J2_METTP	cl11493		PQQ-dependent dehydrogenases and related proteins. Members of this protein family are YfgL, a lipoprotein component of a complex that acts protein insertion into the bacterial outer membrane. Other members of this complex are NlpB, YfiO, and YaeT. This protein contains multiple copies of a repeat that, in other contexts, are associated with binding of the coenzyme PQQ. [Protein fate, Protein and peptide secretion and trafficking]		CDD:472205												
tr|A0B7N6|A0B7N6_METTP	TIGR04337	AmmeMemoRadiSam system radical SAM enzyme	AmmeMemoRadiSam system radical SAM enzyme. Members of this protein family are uncharacterized radical SAM enzymes that occur in a prokaryotic three-gene system along with homologs of mammalian proteins Memo (Mediator of ErbB2-driven cell MOtility) and AMMERCR1 (Alport syndrome, Mental Retardation, Midface hypoplasia, and Elliptocytosis). Among radical SAM enzymes that have been experimentally characterized, the most closely related in sequence include activases of pyruvate formate-lyase and of benzylsuccinate synthase.		CDD:275136	cellular organisms	131567	38.438	333.0	196.0	7.0	6.0	332.0	3.0	332.0	2.45e-118	342.0
tr|A0B7Z8|A0B7Z8_METTP	cl01709		The substrate-binding domain of an ABC-type nickel/oligopeptide-like import system contains the type 2 periplasmic binding fold. The borders of this family are based on the PDBSum definitions of the domain edges for Swiss:P06202.		CDD:445520												
tr|A0B8F2|A0B8F2_METTP	cl17068		Adenylate forming domain, Class I superfamily. This is a small domain that is found C terminal to pfam00501. It has a central beta sheet core that is flanked by alpha helices.		CDD:473059												
tr|A0B8W6|A0B8W6_METTP	TIGR03633	archaeal proteasome endopeptidase complex subunit alpha	proteasome endopeptidase complex, archaeal, alpha subunit. This protein family describes the archaeal proteasome alpha subunit, homologous to both the beta subunit and to the alpha and beta subunits of eukaryotic proteasome subunits. This family is universal in the first 29 complete archaeal genomes but occasionally is duplicated. [Protein fate, Degradation of proteins, peptides, and glycopeptides]	3.4.25.1	CDD:163366	Archaea	2157	72.321	224.0	62.0	0.0	1.0	224.0	1.0	224.0	6.42e-139	386.0
