qseqid	DB ID	Protein description	DB description	EC number	CDD ID	taxonomic_range_name	taxonomic_range	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
tr|A0B5W5|A0B5W5_METTP	pfam03063	Prismane/CO dehydrogenase family (Provisional)	Prismane/CO dehydrogenase family. This family includes both hybrid-cluster proteins and the beta chain of carbon monoxide dehydrogenase. The hybrid-cluster proteins contain two Fe/S centres - a [4Fe-4S] cubane cluster, and a hybrid [4Fe-2S-2O] cluster. The physiological role of this protein is as yet unknown, although a role in nitrate/nitrite respiration has been suggested. The prismane protein from Escherichia coli was shown to contain hydroxylamine reductase activity (NH2OH + 2e + 2 H+ -> NH3 + H2O). This activity is rather low. Hydroxylamine reductase activity was also found in CO-dehydrogenase in which the active site Ni was replaced by Fe. The CO dehydrogenase contains a Ni-3Fe-2S-3O centre.		CDD:460790	cellular organisms	131567	18.276	673.0	366.0	28.0	67.0	691.0	3.0	539.0	3.04e-66	228.0
tr|A0B5Z1|A0B5Z1_METTP	pfam00753	MBL fold metallo-hydrolase	Metallo-beta-lactamase superfamily. 		CDD:425851	cellular organisms	131567	21.429	196.0	134.0	5.0	35.0	216.0	7.0	196.0	8.19e-11	58.9
tr|A0B6R9|A0B6R9_METTP	pfam00582	universal stress protein	"Universal stress protein family. The universal stress protein UspA is a small cytoplasmic bacterial protein whose expression is enhanced when the cell is exposed to stress agents. UspA enhances the rate of cell survival during prolonged exposure to such conditions, and may provide a general ""stress endurance"" activity. The crystal structure of Haemophilus influenzae UspA reveals an alpha/beta fold similar to that of the Methanococcus jannaschii MJ0577 protein, which binds ATP, though UspA lacks ATP-binding activity."		CDD:425765	cellular organisms	131567	38.686	137.0	84.0	0.0	5.0	141.0	1.0	137.0	2.3e-34	115.0
tr|A0B6Z3|A0B6Z3_METTP	pfam07752	S-layer protein (Provisional)	S-layer protein. Archaeal S-layer proteins consist of two copies of this domain.		CDD:429636	Methanosarcinales	94695	42.96	277.0	138.0	5.0	33.0	307.0	1.0	259.0	1.53e-103	315.0
tr|A0B6Z3|A0B6Z3_METTP	pfam07752	S-layer protein (Provisional)	S-layer protein. Archaeal S-layer proteins consist of two copies of this domain.		CDD:429636	Methanosarcinales	94695	41.877	277.0	141.0	5.0	337.0	611.0	1.0	259.0	1.49e-101	310.0
tr|A0B6Z3|A0B6Z3_METTP	pfam18204	PGF-CTERM motif (Provisional)	PGF-CTERM motif. 		CDD:465679	cellular organisms	131567	60.87	23.0	9.0	0.0	697.0	719.0	1.0	23.0	3.11e-08	47.7
tr|A0B7F1|A0B7F1_METTP	cl00262		N/A. This is sensor domain found in bacterial periplasmic binding proteins, several of which are involved in iron and cobalamin transport. Among its ligands are siderophores bacillibactin, enterobactin and iron(III)-hydroxamates (Matilla et. al., FEMS Microbiology Reviews, fuab043, 45, 2021, 1 https://doi.org/10.1093/femsre/fuab043).		CDD:469696												
tr|A0B7J1|A0B7J1_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	22.441	254.0	154.0	9.0	529.0	765.0	6.0	233.0	1.1500000000000002e-27	110.0
tr|A0B7J1|A0B7J1_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	26.033	242.0	142.0	11.0	573.0	797.0	6.0	227.0	1.1500000000000002e-21	92.9
tr|A0B7J1|A0B7J1_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	24.254	268.0	152.0	15.0	374.0	628.0	2.0	231.0	1.22e-18	84.0
