qseqid	General functional category	Functional category	DB ID	Protein description	DB description	CDD ID	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
tr|A0B5Z1|A0B5Z1_METTP	POORLY CHARACTERIZED	General function prediction only 	KOG0813	Glyoxylase	KOG0813, Glyoxylase [General function prediction only]	CDD:228759	25.806	124	71	4	26	141	5	115	2.83e-09	55.1
tr|A0B7J1|A0B7J1_METTP	METABOLISM	Secondary metabolites biosynthesis, transport and catabolism 	KOG4649	PQQ (pyrrolo-quinoline quinone) repeat protein	KOG4649, PQQ (pyrrolo-quinoline quinone) repeat protein [Secondary metabolites biosynthesis, transport and catabolism]	CDD:232576	21.267	221	144	9	86	286	106	316	2.9e-06	47.6
tr|A0B7J1|A0B7J1_METTP	METABOLISM	Secondary metabolites biosynthesis, transport and catabolism 	KOG4649	PQQ (pyrrolo-quinoline quinone) repeat protein	KOG4649, PQQ (pyrrolo-quinoline quinone) repeat protein [Secondary metabolites biosynthesis, transport and catabolism]	CDD:232576	24.113	141	86	8	658	789	33	161	0.000391	41.1
tr|A0B7J2|A0B7J2_METTP	METABOLISM	Secondary metabolites biosynthesis, transport and catabolism 	KOG4649	PQQ (pyrrolo-quinoline quinone) repeat protein	KOG4649, PQQ (pyrrolo-quinoline quinone) repeat protein [Secondary metabolites biosynthesis, transport and catabolism]	CDD:232576	19.63	270	179	12	121	371	22	272	2.4e-15	77.3
tr|A0B7J2|A0B7J2_METTP	METABOLISM	Secondary metabolites biosynthesis, transport and catabolism 	KOG4649	PQQ (pyrrolo-quinoline quinone) repeat protein	KOG4649, PQQ (pyrrolo-quinoline quinone) repeat protein [Secondary metabolites biosynthesis, transport and catabolism]	CDD:232576	22.43	107	78	3	289	392	26	130	1.17e-08	56.5
tr|A0B8F2|A0B8F2_METTP	METABOLISM	Lipid transport and metabolism 	KOG1175	Acyl-CoA synthetase	KOG1175, Acyl-CoA synthetase [Lipid transport and metabolism]	CDD:229118	46.984	630	314	10	43	666	5	620	0.0	707.0
tr|A0B8F2|A0B8F2_METTP	METABOLISM	Lipid transport and metabolism 	KOG1176	Acyl-CoA synthetase	KOG1176, Acyl-CoA synthetase [Lipid transport and metabolism]	CDD:229119	27.857	560	342	16	106	650	22	534	1.17e-90	289.0
tr|A0B8F2|A0B8F2_METTP	METABOLISM	Lipid transport and metabolism 	KOG1177	Long chain fatty acid acyl-CoA ligase	KOG1177, Long chain fatty acid acyl-CoA ligase [Lipid transport and metabolism]	CDD:229120	25.222	563	351	19	116	648	65	587	7.670000000000001e-47	172.0
tr|A0B8F2|A0B8F2_METTP	METABOLISM	Lipid transport and metabolism 	KOG1179	Very long-chain acyl-CoA synthetase/fatty acid transporter	KOG1179, Very long-chain acyl-CoA synthetase/fatty acid transporter [Lipid transport and metabolism]	CDD:229122	21.28	578	368	24	102	640	76	605	1.42e-19	90.5
tr|A0B8F2|A0B8F2_METTP	METABOLISM	Secondary metabolites biosynthesis, transport and catabolism 	KOG1178	Non-ribosomal peptide synthetase/alpha-aminoadipate reductase and related enzymes	KOG1178, Non-ribosomal peptide synthetase/alpha-aminoadipate reductase and related enzymes [Secondary metabolites biosynthesis, transport and catabolism]	CDD:229121	17.857	560	359	20	126	637	62	568	4.86e-17	82.9
tr|A0B8F2|A0B8F2_METTP	METABOLISM	Lipid transport and metabolism 	KOG1256	Long-chain acyl-CoA synthetases (AMP-forming)	KOG1256, Long-chain acyl-CoA synthetases (AMP-forming) [Lipid transport and metabolism]	CDD:229198	19.411	577	333	27	123	612	98	629	4.51e-14	73.1
tr|A0B8F2|A0B8F2_METTP	METABOLISM	Lipid transport and metabolism 	KOG1180	Acyl-CoA synthetase	KOG1180, Acyl-CoA synthetase [Lipid transport and metabolism]	CDD:229123	20.896	201	140	4	134	324	90	281	3.19e-10	60.8
tr|A0B8W6|A0B8W6_METTP	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0176	20S proteasome, regulatory subunit alpha type PSMA5/PUP2	KOG0176, 20S proteasome, regulatory subunit alpha type PSMA5/PUP2 [Posttranslational modification, protein turnover, chaperones]	CDD:228125	43.83	235	126	2	3	232	8	241	1.22e-76	229.0
tr|A0B8W6|A0B8W6_METTP	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0183	20S proteasome, regulatory subunit alpha type PSMA7/PRE6	KOG0183, 20S proteasome, regulatory subunit alpha type PSMA7/PRE6 [Posttranslational modification, protein turnover, chaperones]	CDD:228132	41.322	242	136	4	2	240	3	241	2.84e-70	213.0
tr|A0B8W6|A0B8W6_METTP	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0181	20S proteasome, regulatory subunit alpha type PSMA2/PRE8	KOG0181, 20S proteasome, regulatory subunit alpha type PSMA2/PRE8 [Posttranslational modification, protein turnover, chaperones]	CDD:228130	38.095	231	141	1	2	232	5	233	3.36e-63	194.0
tr|A0B8W6|A0B8W6_METTP	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0178	20S proteasome, regulatory subunit alpha type PSMA4/PRE9	KOG0178, 20S proteasome, regulatory subunit alpha type PSMA4/PRE9 [Posttranslational modification, protein turnover, chaperones]	CDD:228127	38.889	234	137	5	3	230	5	238	1.6200000000000001e-59	186.0
tr|A0B8W6|A0B8W6_METTP	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0863	20S proteasome, regulatory subunit alpha type PSMA1/PRE5	KOG0863, 20S proteasome, regulatory subunit alpha type PSMA1/PRE5 [Posttranslational modification, protein turnover, chaperones]	CDD:228809	37.288	236	139	6	3	233	6	237	9.93e-57	179.0
tr|A0B8W6|A0B8W6_METTP	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0184	20S proteasome, regulatory subunit alpha type PSMA3/PRE10	KOG0184, 20S proteasome, regulatory subunit alpha type PSMA3/PRE10 [Posttranslational modification, protein turnover, chaperones]	CDD:228133	38.261	230	141	1	2	230	7	236	7.420000000000001e-56	176.0
tr|A0B8W6|A0B8W6_METTP	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0182	20S proteasome, regulatory subunit alpha type PSMA6/SCL1	KOG0182, 20S proteasome, regulatory subunit alpha type PSMA6/SCL1 [Posttranslational modification, protein turnover, chaperones]	CDD:228131	33.621	232	150	3	2	229	8	239	1.19e-50	163.0
tr|A0B8W6|A0B8W6_METTP	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0173	20S proteasome, regulatory subunit beta type PSMB7/PSMB10/PUP1	KOG0173, 20S proteasome, regulatory subunit beta type PSMB7/PSMB10/PUP1 [Posttranslational modification, protein turnover, chaperones]	CDD:228122	28.402	169	115	3	25	192	33	196	1.48e-15	71.7
tr|A0B8W6|A0B8W6_METTP	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0175	20S proteasome, regulatory subunit beta type PSMB5/PSMB8/PRE2	KOG0175, 20S proteasome, regulatory subunit beta type PSMB5/PSMB8/PRE2 [Posttranslational modification, protein turnover, chaperones]	CDD:228124	23.767	223	140	6	27	227	69	283	5.87e-11	58.6
tr|A0B8W6|A0B8W6_METTP	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0174	20S proteasome, regulatory subunit beta type PSMB6/PSMB9/PRE3	KOG0174, 20S proteasome, regulatory subunit beta type PSMB6/PSMB9/PRE3 [Posttranslational modification, protein turnover, chaperones]	CDD:228123	21.591	176	113	7	21	185	11	172	6.2e-05	40.5
sp|A0B9K2|AATA_METTP	METABOLISM	Energy production and conversion 	KOG1352	Vacuolar H+-ATPase V1 sector, subunit A	KOG1352, Vacuolar H+-ATPase V1 sector, subunit A [Energy production and conversion]	CDD:229294	53.102	548	244	9	2	538	20	565	0.0	666.0
sp|A0B9K2|AATA_METTP	METABOLISM	Energy production and conversion 	KOG1350	F0F1-type ATP synthase, beta subunit	KOG1350, F0F1-type ATP synthase, beta subunit [Energy production and conversion]	CDD:229292	31.773	299	183	8	205	497	175	458	1.3199999999999999e-28	117.0
sp|A0B9K2|AATA_METTP	METABOLISM	Energy production and conversion 	KOG1351	Vacuolar H+-ATPase V1 sector, subunit B	KOG1351, Vacuolar H+-ATPase V1 sector, subunit B [Energy production and conversion]	CDD:229293	30.417	240	155	7	282	517	232	463	1.48e-19	89.5
tr|A0LE81|A0LE81_SYNFM	METABOLISM	Energy production and conversion 	KOG2282	NADH-ubiquinone oxidoreductase, NDUFS1/75 kDa subunit	KOG2282, NADH-ubiquinone oxidoreductase, NDUFS1/75 kDa subunit [Energy production and conversion]	CDD:230221	28.435	313	215	5	17	328	39	343	3.7600000000000003e-47	167.0
tr|A0LE81|A0LE81_SYNFM	METABOLISM	Energy production and conversion 	KOG3256	NADH:ubiquinone oxidoreductase, NDUFS8/23 kDa subunit	KOG3256, NADH:ubiquinone oxidoreductase, NDUFS8/23 kDa subunit [Energy production and conversion]	CDD:231194	31.746	63	37	3	154	215	112	169	0.000207	39.5
tr|A0LE82|A0LE82_SYNFM	METABOLISM	Energy production and conversion 	KOG2282	NADH-ubiquinone oxidoreductase, NDUFS1/75 kDa subunit	KOG2282, NADH-ubiquinone oxidoreductase, NDUFS1/75 kDa subunit [Energy production and conversion]	CDD:230221	30.952	84	55	2	283	366	575	655	5.92e-07	49.8
sp|A0LEC9|ENO_SYNFM	METABOLISM	Carbohydrate transport and metabolism 	KOG2670	Enolase	KOG2670, Enolase [Carbohydrate transport and metabolism]	CDD:230609	52.791	430	185	7	4	420	3	427	0.0	527.0
sp|A0LEH2|CH601_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0356	Mitochondrial chaperonin, Cpn60/Hsp60p	KOG0356, Mitochondrial chaperonin, Cpn60/Hsp60p [Posttranslational modification, protein turnover, chaperones]	CDD:228305	57.955	528	217	3	2	526	16	541	0.0	642.0
sp|A0LEH2|CH601_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0361	Chaperonin complex component, TCP-1 eta subunit (CCT7)	KOG0361, Chaperonin complex component, TCP-1 eta subunit (CCT7) [Posttranslational modification, protein turnover, chaperones]	CDD:228310	23.034	534	337	20	15	514	22	515	3.16e-14	72.9
sp|A0LEH2|CH601_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0363	Chaperonin complex component, TCP-1 beta subunit (CCT2)	KOG0363, Chaperonin complex component, TCP-1 beta subunit (CCT2) [Posttranslational modification, protein turnover, chaperones]	CDD:228312	21.982	555	342	17	11	525	19	522	4.05e-14	72.5
sp|A0LEH2|CH601_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0358	Chaperonin complex component, TCP-1 delta subunit (CCT4)	KOG0358, Chaperonin complex component, TCP-1 delta subunit (CCT4) [Posttranslational modification, protein turnover, chaperones]	CDD:228307	22.361	559	332	20	12	526	28	528	4.07e-14	72.5
sp|A0LEH2|CH601_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0360	Chaperonin complex component, TCP-1 alpha subunit (CCT1)	KOG0360, Chaperonin complex component, TCP-1 alpha subunit (CCT1) [Posttranslational modification, protein turnover, chaperones]	CDD:228309	19.372	573	354	18	11	527	20	540	8.24e-10	58.7
sp|A0LEH2|CH601_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0362	Chaperonin complex component, TCP-1 theta subunit (CCT8)	KOG0362, Chaperonin complex component, TCP-1 theta subunit (CCT8) [Posttranslational modification, protein turnover, chaperones]	CDD:228311	20.149	536	337	18	16	514	32	513	2.28e-09	57.4
sp|A0LEH2|CH601_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0359	Chaperonin complex component, TCP-1 zeta subunit (CCT6)	KOG0359, Chaperonin complex component, TCP-1 zeta subunit (CCT6) [Posttranslational modification, protein turnover, chaperones]	CDD:228308	18.28	558	321	18	22	518	29	512	7.82e-07	49.4
sp|A0LEH2|CH601_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0364	Chaperonin complex component, TCP-1 gamma subunit (CCT3)	KOG0364, Chaperonin complex component, TCP-1 gamma subunit (CCT3) [Posttranslational modification, protein turnover, chaperones]	CDD:228313	26.752	157	103	3	23	171	32	184	1.43e-06	48.3
sp|A0LEH2|CH601_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0357	Chaperonin complex component, TCP-1 epsilon subunit (CCT5)	KOG0357, Chaperonin complex component, TCP-1 epsilon subunit (CCT5) [Posttranslational modification, protein turnover, chaperones]	CDD:228306	27.333	150	96	1	3	152	21	157	3.55e-05	43.7
tr|A0LEV9|A0LEV9_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0102	Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily	KOG0102, Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228053	57.667	600	250	3	3	599	28	626	0.0	812.0
tr|A0LEV9|A0LEV9_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0100	Molecular chaperones GRP78/BiP/KAR2, HSP70 superfamily	KOG0100, Molecular chaperones GRP78/BiP/KAR2, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228051	48.523	643	299	12	1	627	35	661	0.0	616.0
